172.18.0.1 - - [04/Jan/2024:07:12:16 +0000] "GET / HTTP/1.1" 500 2834 "-" "curl/8.3.0"
121.140.122.206 - - [04/Jan/2024:07:20:45 +0000] "GET / HTTP/1.1" 500 2834 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:20:45 +0000] "GET /favicon.ico HTTP/1.1" 500 2834 "http://docker.gguduck.com:8888/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:21:12 +0000] "\x16\x03\x01\x01\x02\x01" 400 0 "-" "-"
121.140.122.206 - - [04/Jan/2024:07:21:12 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
121.140.122.206 - - [04/Jan/2024:07:21:12 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
121.140.122.206 - - [04/Jan/2024:07:21:12 +0000] "GET / HTTP/1.1" 500 2834 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:21:12 +0000] "GET /favicon.ico HTTP/1.1" 500 2834 "http://43.200.198.231:8888/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
182.172.56.228 - - [04/Jan/2024:07:21:13 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
172.18.0.1 - - [04/Jan/2024:07:24:09 +0000] "GET / HTTP/1.1" 302 349 "-" "curl/8.3.0"
121.140.122.206 - - [04/Jan/2024:07:24:15 +0000] "\x16\x03\x01\x01\x02\x01" 400 0 "-" "-"
121.140.122.206 - - [04/Jan/2024:07:24:15 +0000] "GET / HTTP/1.1" 302 410 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:24:15 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
121.140.122.206 - - [04/Jan/2024:07:24:15 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
121.140.122.206 - - [04/Jan/2024:07:24:15 +0000] "GET /wp-admin/install.php HTTP/1.1" 200 4548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:24:17 +0000] "GET /wp-includes/css/buttons.min.css?ver=5.7.2 HTTP/1.1" 200 1791 "http://43.200.198.231:8888/wp-admin/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:24:17 +0000] "GET /wp-includes/css/dashicons.min.css?ver=5.7.2 HTTP/1.1" 200 36068 "http://43.200.198.231:8888/wp-admin/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:24:17 +0000] "GET /wp-admin/css/forms.min.css?ver=5.7.2 HTTP/1.1" 200 6516 "http://43.200.198.231:8888/wp-admin/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:24:17 +0000] "GET /wp-admin/css/l10n.min.css?ver=5.7.2 HTTP/1.1" 200 1022 "http://43.200.198.231:8888/wp-admin/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
